epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,1275.41,0.71045,0.42618,1.14424,0.99401,0.99669,0.995,0.7269,1.00808,0.48211,1.36892,0.000516079,0.000516079,0.000516079
142,1284.09,0.74589,0.44607,1.18063,0.99175,0.99859,0.99493,0.73591,1.02646,0.49436,1.40835,0.000514665,0.000514665,0.000514665
143,1292.83,0.74651,0.4381,1.15864,0.99145,0.99832,0.99464,0.73511,1.01879,0.50023,1.39562,0.000513252,0.000513252,0.000513252
144,1301.55,0.7361,0.44579,1.16009,0.98603,0.99819,0.9948,0.73909,0.9897,0.48981,1.37891,0.000511838,0.000511838,0.000511838
145,1310.29,0.75579,0.43371,1.18663,0.99646,0.99929,0.995,0.73543,0.99536,0.48918,1.37916,0.000510424,0.000510424,0.000510424
146,1319.05,0.76351,0.44458,1.19748,0.99728,0.99829,0.995,0.73911,1.0097,0.47784,1.38312,0.000509011,0.000509011,0.000509011
147,1327.86,0.72413,0.43127,1.14882,0.99729,0.99974,0.995,0.7191,1.02247,0.47851,1.39145,0.000507597,0.000507597,0.000507597
148,1336.54,0.71294,0.42178,1.13737,0.99561,0.99643,0.995,0.70585,1.08027,0.49394,1.42955,0.000506183,0.000506183,0.000506183
149,1345.04,0.69968,0.4181,1.14292,0.99387,0.99901,0.995,0.65808,1.25072,0.5215,1.56664,0.000504769,0.000504769,0.000504769
150,1353.82,0.74427,0.43662,1.16926,0.99237,0.99924,0.995,0.66109,1.21753,0.52805,1.54669,0.000503356,0.000503356,0.000503356
151,1362.45,0.75297,0.42075,1.17576,0.99302,0.99901,0.995,0.72894,1.02528,0.48185,1.3777,0.000501942,0.000501942,0.000501942
152,1371.21,0.70321,0.42645,1.16797,0.99537,0.99579,0.995,0.70744,1.07409,0.50415,1.43885,0.000500528,0.000500528,0.000500528
153,1379.95,0.70849,0.42257,1.15844,0.98861,0.99634,0.99432,0.71601,1.04848,0.51292,1.39174,0.000499115,0.000499115,0.000499115
